trade_week,操作,ETF名称,ts_code,板块,上周权重(%),本周权重(%),Δ权重(pp),Gate,Regime_csi
2019-10-18,🔴 SELL,黄金ETF,159934.SZ,周期资源,16.67,0.0,-16.67,RISK-ON,OFF
2019-10-18,🟡 REBAL,医药ETF,512010.SH,医疗,29.17,62.5,33.33,RISK-ON,OFF
2019-10-18,🟡 REBAL,酒ETF,512690.SH,大消费,29.17,12.5,-16.67,RISK-ON,OFF
2019-10-25,🟡 REBAL,医药ETF,512010.SH,医疗,62.5,29.17,-33.33,RISK-ON,OFF
2019-10-25,🟡 REBAL,房地产ETF,512200.SH,地产链,12.5,29.17,16.67,RISK-ON,OFF
2019-10-25,🟡 REBAL,银行ETF,512800.SH,大金融,12.5,29.17,16.67,RISK-ON,OFF
2019-11-01,🟡 REBAL,医药ETF,512010.SH,医疗,29.17,25.0,-4.17,RISK-ON,OFF
2019-11-01,🟡 REBAL,房地产ETF,512200.SH,地产链,29.17,25.0,-4.17,RISK-ON,OFF
2019-11-01,🟡 REBAL,酒ETF,512690.SH,大消费,12.5,25.0,12.5,RISK-ON,OFF
2019-11-01,🟡 REBAL,银行ETF,512800.SH,大金融,29.17,25.0,-4.17,RISK-ON,OFF
2019-11-08,🟡 REBAL,医药ETF,512010.SH,医疗,25.0,29.17,4.17,RISK-ON,OFF
2019-11-08,🔴 SELL,房地产ETF,512200.SH,地产链,25.0,0.0,-25.0,RISK-ON,OFF
2019-11-08,🟢 BUY,半导体ETF,512480.SH,半导体芯片,0.0,29.17,29.17,RISK-ON,OFF
2019-11-08,🟡 REBAL,酒ETF,512690.SH,大消费,25.0,29.17,4.17,RISK-ON,OFF
2019-11-08,🟡 REBAL,银行ETF,512800.SH,大金融,25.0,12.5,-12.5,RISK-ON,OFF
2019-11-22,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,12.5,12.5,RISK-ON,OFF
2019-11-22,🔴 SELL,银行ETF,512800.SH,大金融,12.5,0.0,-12.5,RISK-ON,OFF
2019-11-29,🔴 SELL,医药ETF,512010.SH,医疗,29.17,0.0,-29.17,RISK-ON,OFF
2019-11-29,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,29.17,61.52,32.35,RISK-ON,OFF
2019-11-29,🟡 REBAL,军工ETF,512660.SH,高端制造,12.5,12.3,-0.2,RISK-ON,OFF
2019-11-29,🟡 REBAL,酒ETF,512690.SH,大消费,29.17,12.3,-16.86,RISK-ON,OFF
2019-11-29,🟢 BUY,通信ETF,515880.SH,通信光模块,0.0,12.3,12.3,RISK-ON,OFF
2019-12-06,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,10.12,10.12,RISK-ON,OFF
2019-12-06,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,10.12,10.12,RISK-ON,OFF
2019-12-06,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,61.52,20.24,-41.28,RISK-ON,OFF
2019-12-06,🟡 REBAL,军工ETF,512660.SH,高端制造,12.3,10.12,-2.18,RISK-ON,OFF
2019-12-06,🟡 REBAL,酒ETF,512690.SH,大消费,12.3,20.24,7.94,RISK-ON,OFF
2019-12-06,🟡 REBAL,通信ETF,515880.SH,通信光模块,12.3,10.12,-2.18,RISK-ON,OFF
2019-12-13,🔴 SELL,黄金ETF,159934.SZ,周期资源,10.12,0.0,-10.12,RISK-ON,OFF
2019-12-13,🟡 REBAL,房地产ETF,512200.SH,地产链,10.12,20.18,10.06,RISK-ON,OFF
2019-12-13,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,20.24,20.18,-0.06,RISK-ON,OFF
2019-12-13,🟡 REBAL,军工ETF,512660.SH,高端制造,10.12,20.18,10.06,RISK-ON,OFF
2019-12-13,🔴 SELL,酒ETF,512690.SH,大消费,20.24,0.0,-20.24,RISK-ON,OFF
2019-12-13,🟡 REBAL,通信ETF,515880.SH,通信光模块,10.12,20.18,10.06,RISK-ON,OFF
2019-12-20,🟡 REBAL,房地产ETF,512200.SH,地产链,20.18,20.37,0.19,RISK-ON,OFF
2019-12-20,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,20.18,20.37,0.19,RISK-ON,OFF
2019-12-20,🟡 REBAL,军工ETF,512660.SH,高端制造,20.18,10.19,-9.99,RISK-ON,OFF
2019-12-20,🟢 BUY,证券ETF,512880.SH,大金融,0.0,10.19,10.19,RISK-ON,OFF
2019-12-20,🟡 REBAL,通信ETF,515880.SH,通信光模块,20.18,20.37,0.19,RISK-ON,OFF
2019-12-27,🟡 REBAL,房地产ETF,512200.SH,地产链,20.37,20.24,-0.13,RISK-ON,OFF
2019-12-27,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,20.37,20.24,-0.13,RISK-ON,OFF
2019-12-27,🔴 SELL,军工ETF,512660.SH,高端制造,10.19,0.0,-10.19,RISK-ON,OFF
2019-12-27,🟢 BUY,银行ETF,512800.SH,大金融,0.0,10.12,10.12,RISK-ON,OFF
2019-12-27,🟡 REBAL,证券ETF,512880.SH,大金融,10.19,10.12,-0.06,RISK-ON,OFF
2019-12-27,🟡 REBAL,通信ETF,515880.SH,通信光模块,20.37,20.24,-0.13,RISK-ON,OFF
2020-01-03,🟡 REBAL,房地产ETF,512200.SH,地产链,20.24,19.49,-0.76,RISK-ON,OFF
2020-01-03,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,20.24,19.49,-0.76,RISK-ON,OFF
2020-01-03,🟡 REBAL,银行ETF,512800.SH,大金融,10.12,9.74,-0.38,RISK-ON,OFF
2020-01-03,🟡 REBAL,证券ETF,512880.SH,大金融,10.12,9.74,-0.38,RISK-ON,OFF
2020-01-03,🟡 REBAL,通信ETF,515880.SH,通信光模块,20.24,19.49,-0.76,RISK-ON,OFF
2020-01-10,🔴 SELL,房地产ETF,512200.SH,地产链,19.49,0.0,-19.49,RISK-ON,OFF
2020-01-10,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,19.49,19.78,0.29,RISK-ON,OFF
2020-01-10,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,19.78,19.78,RISK-ON,OFF
2020-01-10,🟢 BUY,酒ETF,512690.SH,大消费,0.0,19.78,19.78,RISK-ON,OFF
2020-01-10,🔴 SELL,银行ETF,512800.SH,大金融,9.74,0.0,-9.74,RISK-ON,OFF
2020-01-10,🔴 SELL,证券ETF,512880.SH,大金融,9.74,0.0,-9.74,RISK-ON,OFF
2020-01-10,🟡 REBAL,通信ETF,515880.SH,通信光模块,19.49,19.78,0.29,RISK-ON,OFF
2020-01-17,🟢 BUY,医药ETF,512010.SH,医疗,0.0,19.67,19.67,RISK-ON,OFF
2020-01-17,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,19.78,19.67,-0.11,RISK-ON,OFF
2020-01-17,🔴 SELL,军工ETF,512660.SH,高端制造,19.78,0.0,-19.78,RISK-ON,OFF
2020-01-17,🟡 REBAL,酒ETF,512690.SH,大消费,19.78,19.67,-0.11,RISK-ON,OFF
2020-01-17,🟡 REBAL,通信ETF,515880.SH,通信光模块,19.78,19.67,-0.11,RISK-ON,OFF
