trade_week,Gate,Regime_accel,scale,持仓数,总仓位(%),换手率(%),主导板块,主导板块权重(%),周收益(%),成本(bps),NAV
2019-06-21,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,2.1021,0.0,1.104
2019-06-28,RISK-ON,OFF,1.0,3,50.0,58.33,周期资源,16.67,0.9477,0.0,1.1145
2019-07-05,RISK-ON,ON,1.0,3,50.0,16.67,大消费,16.67,0.3634,2.92,1.1185
2019-07-12,RISK-ON,ON,1.0,3,50.0,0.0,大消费,16.67,-1.1787,0.83,1.1053
2019-07-19,RISK-ON,ON,1.0,3,50.0,33.33,周期资源,16.67,0.2633,0.0,1.1083
2019-07-26,RISK-ON,ON,1.0,3,50.0,16.67,大消费,16.67,-0.0665,1.67,1.1075
2019-08-02,RISK-ON,ON,1.0,1,50.0,50.0,周期资源,50.0,-1.814,0.83,1.0874
2019-08-09,RISK-ON,ON,1.0,4,100.0,25.0,周期资源,62.5,3.4107,2.5,1.1245
2019-08-16,RISK-ON,ON,1.0,5,100.0,37.5,大消费,50.0,0.997,1.25,1.1357
2019-08-23,RISK-ON,ON,1.0,4,100.0,12.5,大消费,50.0,2.8909,1.88,1.1686
2019-08-30,RISK-ON,OFF,1.0,5,100.0,45.83,大消费,41.67,2.5375,0.62,1.1982
2019-09-06,RISK-ON,OFF,1.0,4,100.0,29.17,大消费,41.67,1.3929,2.29,1.2149
2019-09-12,RISK-ON,OFF,1.0,4,100.0,29.17,地产链,29.17,-0.2017,1.46,1.2125
2019-09-20,RISK-ON,OFF,1.0,5,100.0,12.5,地产链,29.17,-0.2965,1.46,1.2089
2019-09-27,RISK-ON,OFF,1.0,5,100.0,29.17,地产链,29.17,-3.8915,0.62,1.1618
2019-09-30,RISK-ON,OFF,1.0,4,50.0,37.5,地产链,12.5,-1.2762,1.46,1.147
2019-10-11,RISK-ON,OFF,1.0,5,100.0,37.5,大消费,50.0,1.1069,1.87,1.1597
2019-10-18,RISK-ON,OFF,1.0,4,50.0,25.0,大消费,25.0,-0.8921,1.88,1.1493
2019-10-25,RISK-ON,OFF,1.0,4,100.0,25.0,大消费,41.67,0.3465,1.25,1.1533
2019-11-01,RISK-ON,OFF,1.0,4,100.0,0.0,大消费,41.67,1.4062,1.25,1.1695
2019-11-08,RISK-ON,OFF,1.0,4,100.0,45.83,大消费,50.0,0.3665,0.0,1.1738
2019-11-15,RISK-ON,OFF,1.0,4,100.0,0.0,大消费,50.0,0.9297,2.29,1.1847
2019-11-22,RISK-ON,OFF,0.9806,4,98.06,37.5,大消费,49.03,-1.986,0.0,1.1612
2019-11-29,RISK-ON,OFF,0.9716,4,97.16,36.55,科技成长,72.87,-0.6918,1.88,1.1532
2019-12-06,RISK-ON,OFF,0.8001,5,80.01,43.1,科技成长,23.34,6.6798,1.83,1.2302
2019-12-13,RISK-ON,OFF,0.7976,4,79.76,23.36,科技成长,33.23,1.771,2.16,1.252
2019-12-20,RISK-ON,OFF,0.8057,5,80.57,13.6,科技成长,33.57,0.6829,1.17,1.2605
2019-12-27,RISK-ON,OFF,0.8019,5,80.19,10.21,科技成长,33.41,-0.4407,0.68,1.255
2020-01-03,RISK-ON,OFF,0.7686,5,76.86,1.66,科技成长,32.03,2.9398,0.51,1.2919
2020-01-10,RISK-ON,OFF,0.7796,5,77.96,32.58,科技成长,32.48,0.8499,0.08,1.3029
2020-01-17,RISK-ON,OFF,0.776,5,77.6,22.77,大消费,32.33,1.4718,1.63,1.322
2020-01-23,RISK-ON,OFF,0.7781,4,77.81,22.74,科技成长,32.42,0.9223,1.14,1.3342
2020-02-07,RISK-ON,OFF,0.8025,5,80.25,13.88,科技成长,33.44,0.2007,1.14,1.3369
2020-02-14,RISK-ON,OFF,0.8144,5,81.44,0.6,科技成长,33.93,2.1704,0.69,1.3659
2020-02-21,RISK-ON,OFF,0.597,5,59.7,10.87,科技成长,24.87,8.6,0.03,1.4834
2020-02-28,RISK-ON,OFF,0.5283,4,52.83,8.89,科技成长,22.01,-3.8715,0.54,1.426
2020-03-06,RISK-ON,OFF,0.5302,4,53.02,30.91,地产链,15.46,0.9804,0.44,1.4399
2020-03-13,RISK-ON,OFF,0.5211,5,52.11,9.14,高端制造,15.2,-1.187,1.55,1.4229
2020-03-20,RISK-OFF,OFF,0.4709,1,47.09,49.6,周期资源,47.09,-3.6548,0.46,1.3709
2020-03-27,RISK-OFF,OFF,0.4363,1,43.63,1.73,周期资源,43.63,3.6768,2.48,1.4213
2020-04-03,RISK-OFF,OFF,0.4483,1,44.83,0.6,周期资源,44.83,-0.4029,0.09,1.4155
2020-04-10,RISK-OFF,OFF,0.4498,1,44.98,0.08,周期资源,44.98,1.1748,0.03,1.4322
2020-04-17,RISK-ON,OFF,0.4489,5,44.89,37.45,大消费,18.71,-0.0618,0.0,1.4313
2020-04-24,RISK-ON,OFF,0.4511,4,45.11,28.14,大消费,18.8,0.2052,1.87,1.4342
2020-04-30,RISK-ON,ON,0.4514,4,45.14,0.01,大消费,18.81,0.61,1.41,1.443
2020-05-08,RISK-ON,ON,0.4502,4,45.02,18.82,科技成长,18.76,1.1313,0.0,1.4593
2020-05-15,RISK-ON,ON,0.4496,4,44.96,0.03,科技成长,18.73,1.0883,0.94,1.4752
2020-05-22,RISK-ON,ON,0.436,4,43.6,18.85,大消费,18.17,-1.5862,0.0,1.4518
2020-05-29,RISK-ON,ON,0.4418,6,44.18,20.2,周期资源,18.41,0.4431,0.94,1.4582
2020-06-05,RISK-ON,ON,0.4423,5,44.23,12.91,周期资源,18.43,1.2888,1.01,1.477
2020-06-12,RISK-ON,ON,0.4641,5,46.41,6.62,周期资源,19.34,0.3772,0.65,1.4826
2020-06-19,RISK-ON,ON,0.4614,5,46.14,21.2,大消费,19.23,1.5459,0.33,1.5055
2020-06-24,RISK-ON,ON,0.4613,5,46.13,24.99,科技成长,24.99,0.7541,1.06,1.5168
2020-07-03,RISK-ON,ON,0.4619,6,46.19,40.38,大消费,19.24,1.2225,1.25,1.5354
2020-07-10,RISK-ON,OFF,0.4402,6,44.02,21.26,科技成长,12.84,3.4555,2.02,1.5884
2020-07-17,RISK-ON,OFF,0.4092,5,40.92,17.69,大消费,17.05,-2.7489,1.06,1.5448
2020-07-24,RISK-ON,OFF,0.4094,4,40.94,13.65,大消费,17.06,0.6684,0.88,1.5551
2020-07-31,RISK-ON,OFF,0.4043,4,40.43,5.31,大消费,16.84,1.8033,0.68,1.5831
2020-08-07,RISK-ON,OFF,0.3994,5,39.94,5.23,大消费,16.64,1.901,0.27,1.6132
2020-08-14,RISK-ON,OFF,0.3918,4,39.18,21.48,地产链,11.43,-1.2207,0.26,1.5935
2020-08-21,RISK-ON,OFF,0.4373,6,43.73,17.84,红利,12.76,-0.3005,1.07,1.5888
2020-08-28,RISK-ON,OFF,0.4743,6,47.43,14.61,红利,13.83,0.6331,0.89,1.5988
2020-09-04,RISK-ON,OFF,0.4719,5,47.19,13.85,大消费,13.76,-0.4646,0.73,1.5914
2020-09-11,RISK-ON,OFF,0.4739,4,47.39,21.73,周期资源,29.62,-0.843,0.69,1.578
2020-09-18,RISK-ON,OFF,0.5347,4,53.47,28.15,新能源,15.6,0.5463,1.09,1.5866
2020-09-25,RISK-ON,OFF,0.555,4,55.5,16.35,周期资源,27.75,-2.3329,1.41,1.5496
2020-09-30,RISK-ON,OFF,0.5588,4,55.88,7.13,周期资源,27.94,0.3676,0.82,1.5553
2020-10-09,RISK-ON,OFF,0.5533,5,55.33,39.47,高端制造,16.14,2.0198,0.36,1.5867
2020-10-16,RISK-ON,OFF,0.554,6,55.4,29.98,大消费,30.01,0.95,1.97,1.6018
2020-10-23,RISK-ON,OFF,0.5264,4,52.64,37.86,大消费,15.35,-2.2508,1.5,1.5657
2020-10-30,RISK-ON,OFF,0.5267,4,52.67,21.95,大消费,21.95,0.5018,1.89,1.5736
2020-11-06,RISK-ON,OFF,0.5086,4,50.86,7.27,大消费,14.83,2.8474,1.1,1.6184
2020-11-13,RISK-ON,OFF,0.5103,4,51.03,8.54,新能源,14.88,0.8365,0.36,1.6319
2020-11-20,RISK-ON,OFF,0.5297,5,52.97,7.03,周期资源,22.07,1.079,0.43,1.6495
2020-11-27,RISK-ON,OFF,0.528,6,52.8,15.49,周期资源,19.8,-0.1051,0.35,1.6478
2020-12-04,RISK-ON,ON,0.5311,6,53.11,15.55,红利,15.49,0.0094,0.77,1.6479
2020-12-11,RISK-ON,ON,0.5242,5,52.42,17.65,周期资源,21.84,-0.8784,0.78,1.6335
2020-12-18,RISK-ON,ON,0.5267,4,52.67,30.7,大消费,21.95,1.4688,0.88,1.6574
2020-12-25,RISK-ON,ON,0.5265,5,52.65,24.14,大消费,28.52,0.9186,1.54,1.6727
2020-12-31,RISK-ON,ON,0.5271,5,52.71,8.8,大消费,28.55,1.3153,1.21,1.6947
2021-01-08,RISK-ON,ON,0.5362,4,53.62,7.04,大消费,22.34,3.6158,0.44,1.7559
2021-01-15,RISK-ON,ON,0.5351,5,53.51,15.66,科技成长,15.61,-3.3759,0.35,1.6967
2021-01-22,RISK-ON,ON,0.5209,6,52.09,22.24,科技成长,21.71,2.4462,0.78,1.7382
2021-01-29,RISK-ON,OFF,0.4674,5,46.74,29.27,大消费,19.47,-4.2021,1.11,1.6651
2021-02-05,RISK-ON,OFF,0.4681,4,46.81,15.61,大消费,23.4,2.1348,1.46,1.7007
2021-02-10,RISK-ON,OFF,0.4715,5,47.15,29.38,大消费,25.54,1.5978,0.78,1.7279
2021-02-19,RISK-ON,OFF,0.4702,5,47.02,27.48,周期资源,25.47,-0.6106,1.47,1.7173
2021-02-26,RISK-ON,OFF,0.4605,4,46.05,13.92,周期资源,19.19,-1.5217,1.37,1.6912
2021-03-05,RISK-ON,OFF,0.4618,5,46.18,13.46,周期资源,25.01,-0.0144,0.7,1.6909
2021-03-12,RISK-ON,OFF,0.4646,5,46.46,0.14,周期资源,25.17,0.8522,0.67,1.7053
2021-03-19,RISK-ON,OFF,0.4632,4,46.32,5.84,周期资源,19.3,-0.4201,0.01,1.6982
2021-03-25,RISK-ON,OFF,0.4818,2,24.09,11.11,红利,12.04,-0.0029,0.29,1.6981
2021-03-26,RISK-ON,OFF,0.4784,5,47.84,23.92,周期资源,23.92,-0.6613,0.56,1.6869
2021-04-02,RISK-ON,OFF,0.4855,5,48.55,42.21,大消费,26.3,0.557,1.2,1.6963
2021-04-09,RISK-ON,ON,0.4799,4,47.99,28.2,科技成长,19.99,-1.2031,2.11,1.6759
2021-04-16,RISK-ON,ON,0.4943,4,49.43,14.72,科技成长,20.6,-0.6054,1.41,1.6657
2021-04-23,RISK-ON,ON,0.4888,6,48.88,20.64,周期资源,20.37,1.5368,0.74,1.6913
2021-04-30,RISK-ON,ON,0.5107,5,51.07,29.33,周期资源,27.66,0.1596,1.03,1.694
2021-05-07,RISK-ON,ON,0.5105,6,51.05,14.9,周期资源,27.65,0.8607,1.47,1.7086
2021-05-13,RISK-ON,ON,0.5134,3,25.67,21.3,大消费,8.56,0.327,0.74,1.7142
2021-05-14,RISK-ON,ON,0.5132,5,51.32,21.38,周期资源,21.38,0.5633,1.06,1.7239
2021-05-21,RISK-ON,ON,0.5057,5,50.57,50.94,大消费,14.75,-1.2794,1.07,1.7018
2021-05-28,RISK-ON,OFF,0.4877,6,48.77,13.09,大消费,14.22,2.7035,2.55,1.7478
2021-06-04,RISK-ON,OFF,0.4911,5,49.11,14.39,新能源,14.32,0.7921,0.65,1.7617
2021-06-11,RISK-ON,OFF,0.4924,6,49.24,14.39,新能源,20.52,0.2957,0.72,1.7669
2021-06-18,RISK-ON,OFF,0.496,6,49.6,18.59,科技成长,33.07,0.4281,0.72,1.7744
2021-06-24,RISK-ON,OFF,0.5392,3,26.96,12.76,科技成长,8.99,-0.0093,0.93,1.7743
2021-06-25,RISK-ON,OFF,0.5936,5,59.36,25.18,科技成长,24.73,0.9002,0.64,1.7902
2021-07-02,RISK-ON,OFF,0.6177,5,61.77,18.52,新能源,25.74,-0.8284,1.26,1.7754
2021-07-09,RISK-ON,OFF,0.7147,5,71.47,39.67,新能源,29.78,3.5047,0.93,1.8376
2021-07-16,RISK-ON,OFF,0.7537,5,75.37,36.71,新能源,31.41,1.3516,1.98,1.8625
2021-07-23,RISK-ON,OFF,0.6985,5,69.85,11.49,周期资源,29.11,4.4605,1.84,1.9455
2021-07-30,RISK-ON,OFF,0.7079,5,70.79,9.2,周期资源,38.35,0.0791,0.57,1.9471
2021-08-06,RISK-ON,OFF,0.7457,5,74.57,30.91,周期资源,31.07,1.9464,0.46,1.985
2021-08-13,RISK-ON,OFF,0.7475,5,74.75,9.41,周期资源,31.15,1.3425,1.55,2.0116
2021-08-20,RISK-ON,OFF,0.7156,5,71.56,10.54,新能源,20.87,-1.8311,0.47,1.9748
2021-08-27,RISK-ON,OFF,0.6287,5,62.87,21.6,新能源,18.34,5.5307,0.53,2.084
2021-09-03,RISK-ON,OFF,0.6308,4,63.08,28.92,周期资源,26.28,1.2838,1.08,2.1108
2021-09-10,RISK-ON,OFF,0.6025,5,60.25,18.99,周期资源,25.1,4.0803,1.45,2.1969
2021-09-17,RISK-ON,OFF,0.5675,5,56.75,11.21,周期资源,23.65,-2.042,0.95,2.152
2021-09-24,RISK-ON,OFF,0.5703,4,57.03,33.24,农业,16.63,-1.2312,0.56,2.1255
2021-09-30,RISK-ON,OFF,0.5806,5,58.06,31.23,大消费,31.45,0.6094,1.66,2.1385
2021-10-08,RISK-ON,OFF,0.5841,5,58.41,7.43,大消费,24.34,0.972,1.56,2.1593
2021-10-15,RISK-ON,OFF,0.5746,5,57.46,7.66,农业,16.76,-0.7928,0.37,2.1422
2021-10-22,RISK-ON,OFF,0.5732,6,57.32,26.34,农业,16.72,0.2294,0.38,2.1471
2021-10-29,RISK-ON,OFF,0.5719,6,57.19,40.58,新能源,23.83,0.073,1.32,2.1486
2021-11-05,RISK-ON,OFF,0.5719,5,57.19,16.68,科技成长,30.98,0.6821,2.03,2.1633
2021-11-12,RISK-ON,OFF,0.5836,5,58.36,17.26,科技成长,31.61,2.4359,0.83,2.216
2021-11-19,RISK-ON,OFF,0.5989,5,59.89,0.77,科技成长,32.44,-0.3711,0.86,2.2078
2021-11-26,RISK-ON,OFF,0.5749,6,57.49,27.25,科技成长,31.14,-1.6352,0.04,2.1717
2021-12-03,RISK-ON,OFF,0.5755,5,57.55,23.98,周期资源,23.98,0.6252,1.36,2.1852
2021-12-10,RISK-ON,OFF,0.573,5,57.3,24.0,周期资源,23.88,-0.0925,1.2,2.1832
2021-12-17,RISK-ON,OFF,0.5575,6,55.75,42.59,周期资源,30.2,-1.4248,1.2,2.1521
2021-12-24,RISK-ON,OFF,0.5512,6,55.12,32.47,农业,16.08,-0.7222,2.13,2.1366
2021-12-31,RISK-ON,OFF,0.5574,4,55.74,23.28,农业,16.26,0.0459,1.62,2.1376
2022-01-07,RISK-ON,OFF,0.5861,5,58.61,16.86,农业,17.1,0.9865,1.16,2.1586
2022-01-14,RISK-OFF,OFF,0.5829,1,58.29,58.45,周期资源,58.29,-0.5609,0.84,2.1465
2022-01-21,RISK-OFF,OFF,0.6264,1,62.64,2.17,周期资源,62.64,0.2608,2.92,2.1521
2022-01-28,RISK-OFF,OFF,0.6157,1,61.57,0.53,周期资源,61.57,-1.2242,0.11,2.1258
2022-02-11,RISK-OFF,OFF,0.6232,1,62.32,0.37,周期资源,62.32,0.8287,0.03,2.1434
2022-02-18,RISK-OFF,OFF,0.6146,1,61.46,0.43,周期资源,61.46,1.9316,0.02,2.1848
2022-02-25,RISK-OFF,ON,0.63,1,63.0,0.77,周期资源,63.0,0.7588,0.02,2.2014
2022-03-04,RISK-OFF,ON,0.7511,1,75.11,6.06,周期资源,75.11,0.5509,0.04,2.2135
2022-03-11,RISK-OFF,ON,0.7448,1,74.48,0.31,周期资源,74.48,1.9518,0.3,2.2567
2022-03-18,RISK-OFF,ON,0.8659,1,86.59,6.05,周期资源,86.59,-1.6986,0.02,2.2184
2022-03-25,RISK-OFF,ON,0.9205,1,92.05,2.73,周期资源,92.05,1.3819,0.3,2.249
2022-04-01,RISK-OFF,ON,0.9362,1,93.62,0.78,周期资源,93.62,-1.4029,0.14,2.2175
2022-04-08,RISK-OFF,ON,0.9395,1,93.95,0.17,周期资源,93.95,-0.0495,0.04,2.2164
2022-04-15,RISK-OFF,ON,0.9241,1,92.41,0.77,周期资源,92.41,2.2909,0.01,2.2672
2022-04-22,RISK-OFF,ON,0.9402,1,94.02,0.81,周期资源,94.02,0.1888,0.04,2.2714
2022-04-29,RISK-OFF,ON,0.9384,1,93.84,0.09,周期资源,93.84,-0.2166,0.04,2.2665
2022-05-06,RISK-OFF,ON,0.9348,1,93.48,0.18,周期资源,93.48,-0.4565,0.0,2.2562
2022-05-13,RISK-OFF,ON,0.9328,1,93.28,0.1,周期资源,93.28,-0.8177,0.01,2.2377
2022-05-20,RISK-OFF,ON,1.0,1,100.0,3.36,周期资源,100.0,-0.3874,0.0,2.2291
2022-05-27,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,1.145,0.17,2.2546
2022-06-02,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-0.9534,0.0,2.2331
2022-06-10,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-0.3902,0.0,2.2244
2022-06-17,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.2089,0.0,2.229
2022-06-24,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-1.1467,0.0,2.2035
2022-07-01,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-1.1864,0.0,2.1773
2022-07-08,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-2.9082,0.0,2.114
2022-07-15,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-1.319,0.0,2.0861
2022-07-22,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.8911,0.0,2.1047
2022-07-29,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,2.3461,0.0,2.1541
2022-08-05,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.2136,0.0,2.1802
2022-08-12,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.1332,0.0,2.1831
2022-08-19,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-0.8515,0.0,2.1645
2022-08-26,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.9662,0.0,2.1855
2022-09-02,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-1.8075,0.0,2.1459
2022-09-09,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.4889,0.0,2.1779
2022-09-16,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-1.4404,0.0,2.1465
2022-09-23,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.0555,0.0,2.1692
2022-09-30,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.2946,0.0,2.1756
2022-10-14,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.8011,0.0,2.193
2022-10-21,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-1.0066,0.0,2.1709
2022-10-28,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,1.2577,0.0,2.1982
2022-11-04,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-0.3171,0.0,2.1913
2022-11-11,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,3.685,0.0,2.272
2022-11-18,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.1278,0.0,2.2749
2022-11-25,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.1532,0.0,2.2784
2022-12-02,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.5099,0.0,2.29
2022-12-09,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-1.446,0.0,2.2569
2022-12-16,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-0.2059,0.0,2.2523
2022-12-23,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.8512,0.0,2.2714
2022-12-30,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.8696,0.0,2.2912
2023-01-06,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-0.2282,0.0,2.286
2023-01-13,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.3215,0.0,2.3162
2023-01-20,RISK-ON,OFF,1.0,5,100.0,100.0,科技成长,54.17,1.831,0.0,2.3586
2023-02-03,RISK-ON,OFF,1.0,5,100.0,29.17,科技成长,54.17,2.5536,5.0,2.4188
2023-02-10,RISK-ON,OFF,1.0,5,100.0,45.83,科技成长,54.17,0.3901,1.46,2.4282
2023-02-17,RISK-ON,OFF,1.0,5,100.0,16.67,科技成长,54.17,-1.8561,2.29,2.3832
2023-02-24,RISK-ON,OFF,1.0,5,100.0,29.17,科技成长,54.17,1.473,0.83,2.4183
2023-03-03,RISK-ON,OFF,1.0,6,100.0,29.17,科技成长,66.67,3.0116,1.46,2.4911
2023-03-10,RISK-OFF,OFF,0.9972,1,99.72,99.86,周期资源,99.72,-4.0913,1.46,2.3892
2023-03-17,RISK-OFF,OFF,0.9709,1,97.09,1.32,周期资源,97.09,3.3999,4.99,2.4704
2023-03-24,RISK-ON,OFF,0.9676,6,96.76,96.92,科技成长,64.51,1.681,0.07,2.5119
2023-03-31,RISK-ON,OFF,0.99,6,99.0,29.34,科技成长,66.0,1.5259,4.85,2.5503
2023-04-07,RISK-ON,OFF,0.8239,6,82.39,8.3,科技成长,54.93,6.3201,1.47,2.7114
2023-04-14,RISK-ON,OFF,0.765,6,76.5,38.01,科技成长,51.0,-2.6779,0.42,2.6388
2023-04-21,RISK-ON,OFF,0.7358,5,73.58,32.12,科技成长,30.66,-1.8512,1.9,2.59
2023-04-28,RISK-ON,OFF,0.7227,4,72.27,21.74,大金融,30.11,2.5588,1.61,2.6563
2023-05-05,RISK-OFF,OFF,0.7173,1,71.73,72.0,周期资源,71.73,1.652,1.09,2.7001
2023-05-12,RISK-OFF,OFF,0.7119,1,71.19,0.27,周期资源,71.19,-0.7586,3.6,2.6797
2023-05-19,RISK-OFF,OFF,0.7272,1,72.72,0.77,周期资源,72.72,-0.7081,0.01,2.6607
2023-05-26,RISK-OFF,OFF,0.725,1,72.5,0.11,周期资源,72.5,-0.2892,0.04,2.653
2023-06-02,RISK-OFF,OFF,0.7238,1,72.38,0.06,周期资源,72.38,1.0711,0.01,2.6814
2023-06-09,RISK-OFF,OFF,0.7228,1,72.28,0.05,周期资源,72.28,0.0334,0.0,2.6823
2023-06-16,RISK-ON,OFF,0.7338,6,73.38,72.83,科技成长,48.92,-0.0668,0.0,2.6805
2023-06-21,RISK-OFF,OFF,0.7359,1,73.59,73.48,周期资源,73.59,0.2163,3.64,2.6863
2023-06-30,RISK-OFF,OFF,0.7343,1,73.43,0.08,周期资源,73.43,-0.0538,3.67,2.6849
2023-07-07,RISK-OFF,OFF,0.7335,1,73.35,0.04,周期资源,73.35,0.0682,0.0,2.6867
2023-07-14,RISK-OFF,ON,0.7358,1,73.58,0.12,周期资源,73.58,0.4935,0.0,2.7
2023-07-21,RISK-OFF,ON,0.7353,1,73.53,0.03,周期资源,73.53,1.0683,0.01,2.7288
2023-07-28,RISK-ON,ON,0.7317,6,73.17,73.35,地产链,30.49,-0.7183,0.0,2.7092
2023-08-04,RISK-ON,ON,0.738,6,73.8,0.31,地产链,30.75,1.397,3.67,2.747
2023-08-11,RISK-OFF,ON,0.686,1,68.6,71.2,周期资源,68.6,-2.9399,0.02,2.6663
2023-08-18,RISK-OFF,ON,0.6982,1,69.82,0.61,周期资源,69.82,0.0744,3.56,2.6683
2023-08-25,RISK-OFF,ON,0.7007,1,70.07,0.12,周期资源,70.07,0.431,0.03,2.6798
2023-09-01,RISK-OFF,ON,0.7178,1,71.78,0.86,周期资源,71.78,0.6053,0.01,2.696
2023-09-08,RISK-OFF,OFF,0.7792,1,77.92,3.07,周期资源,77.92,0.6954,0.04,2.7147
2023-09-15,RISK-OFF,OFF,0.8106,1,81.06,1.57,周期资源,81.06,0.5726,0.15,2.7303
2023-09-22,RISK-OFF,OFF,0.8167,1,81.67,0.31,周期资源,81.67,0.0351,0.08,2.7312
2023-09-28,RISK-OFF,OFF,0.7894,1,78.94,1.37,周期资源,78.94,-2.2076,0.02,2.6709
2023-10-13,RISK-OFF,OFF,0.9815,1,98.15,9.61,周期资源,98.15,-0.5399,0.07,2.6565
2023-10-20,RISK-OFF,OFF,0.9383,1,93.83,2.16,周期资源,93.83,4.248,0.48,2.7694
2023-10-27,RISK-OFF,OFF,0.9835,1,98.35,2.26,周期资源,98.35,-0.0836,0.11,2.7671
2023-11-03,RISK-OFF,OFF,1.0,1,100.0,0.83,周期资源,100.0,0.3017,0.11,2.7754
