trade_week,操作,ETF名称,ts_code,板块,上周权重(%),本周权重(%),Δ权重(pp),Gate,Regime_accel
2019-10-11,🔴 SELL,半导体ETF,512480.SH,科技成长,12.5,0.0,-12.5,RISK-ON,OFF
2019-10-11,🟡 REBAL,酒ETF,512690.SH,大消费,12.5,37.5,25.0,RISK-ON,OFF
2019-10-18,🔴 SELL,黄金ETF,159934.SZ,周期资源,25.0,0.0,-25.0,RISK-ON,OFF
2019-10-18,🟡 REBAL,酒ETF,512690.SH,大消费,37.5,12.5,-25.0,RISK-ON,OFF
2019-10-25,🟡 REBAL,医药ETF,512010.SH,大消费,12.5,29.17,16.67,RISK-ON,OFF
2019-10-25,🟡 REBAL,房地产ETF,512200.SH,地产链,12.5,29.17,16.67,RISK-ON,OFF
2019-10-25,🟡 REBAL,银行ETF,512800.SH,大金融,12.5,29.17,16.67,RISK-ON,OFF
2019-11-08,🟡 REBAL,医药ETF,512010.SH,大消费,29.17,37.5,8.33,RISK-ON,OFF
2019-11-08,🔴 SELL,房地产ETF,512200.SH,地产链,29.17,0.0,-29.17,RISK-ON,OFF
2019-11-08,🟢 BUY,半导体ETF,512480.SH,科技成长,0.0,37.5,37.5,RISK-ON,OFF
2019-11-08,🟡 REBAL,银行ETF,512800.SH,大金融,29.17,12.5,-16.67,RISK-ON,OFF
2019-11-22,🟡 REBAL,医药ETF,512010.SH,大消费,37.5,12.26,-25.24,RISK-ON,OFF
2019-11-22,🟡 REBAL,半导体ETF,512480.SH,科技成长,37.5,36.77,-0.73,RISK-ON,OFF
2019-11-22,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,12.26,12.26,RISK-ON,OFF
2019-11-22,🟡 REBAL,酒ETF,512690.SH,大消费,12.5,36.77,24.27,RISK-ON,OFF
2019-11-22,🔴 SELL,银行ETF,512800.SH,大金融,12.5,0.0,-12.5,RISK-ON,OFF
2019-11-29,🔴 SELL,医药ETF,512010.SH,大消费,12.26,0.0,-12.26,RISK-ON,OFF
2019-11-29,🟡 REBAL,半导体ETF,512480.SH,科技成长,36.77,60.72,23.95,RISK-ON,OFF
2019-11-29,🟡 REBAL,军工ETF,512660.SH,高端制造,12.26,12.14,-0.11,RISK-ON,OFF
2019-11-29,🟡 REBAL,酒ETF,512690.SH,大消费,36.77,12.14,-24.63,RISK-ON,OFF
2019-11-29,🟢 BUY,通信ETF,515880.SH,科技成长,0.0,12.14,12.14,RISK-ON,OFF
2019-12-06,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,13.34,13.34,RISK-ON,OFF
2019-12-06,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,10.0,10.0,RISK-ON,OFF
2019-12-06,🟡 REBAL,半导体ETF,512480.SH,科技成长,60.72,23.34,-37.39,RISK-ON,OFF
2019-12-06,🟡 REBAL,军工ETF,512660.SH,高端制造,12.14,23.34,11.19,RISK-ON,OFF
2019-12-06,🟡 REBAL,酒ETF,512690.SH,大消费,12.14,10.0,-2.14,RISK-ON,OFF
2019-12-06,🔴 SELL,通信ETF,515880.SH,科技成长,12.14,0.0,-12.14,RISK-ON,OFF
2019-12-13,🔴 SELL,黄金ETF,159934.SZ,周期资源,13.34,0.0,-13.34,RISK-ON,OFF
2019-12-13,🟡 REBAL,房地产ETF,512200.SH,地产链,10.0,23.26,13.26,RISK-ON,OFF
2019-12-13,🟡 REBAL,半导体ETF,512480.SH,科技成长,23.34,23.26,-0.08,RISK-ON,OFF
2019-12-13,🟡 REBAL,军工ETF,512660.SH,高端制造,23.34,23.26,-0.08,RISK-ON,OFF
2019-12-13,🔴 SELL,酒ETF,512690.SH,大消费,10.0,0.0,-10.0,RISK-ON,OFF
2019-12-13,🟢 BUY,通信ETF,515880.SH,科技成长,0.0,9.97,9.97,RISK-ON,OFF
2019-12-20,🟡 REBAL,房地产ETF,512200.SH,地产链,23.26,23.5,0.24,RISK-ON,OFF
2019-12-20,🟡 REBAL,半导体ETF,512480.SH,科技成长,23.26,23.5,0.24,RISK-ON,OFF
2019-12-20,🟡 REBAL,军工ETF,512660.SH,高端制造,23.26,10.07,-13.19,RISK-ON,OFF
2019-12-20,🟢 BUY,证券ETF,512880.SH,大金融,0.0,13.43,13.43,RISK-ON,OFF
2019-12-20,🟡 REBAL,通信ETF,515880.SH,科技成长,9.97,10.07,0.1,RISK-ON,OFF
2019-12-27,🟡 REBAL,房地产ETF,512200.SH,地产链,23.5,23.39,-0.11,RISK-ON,OFF
2019-12-27,🟡 REBAL,半导体ETF,512480.SH,科技成长,23.5,23.39,-0.11,RISK-ON,OFF
2019-12-27,🔴 SELL,军工ETF,512660.SH,高端制造,10.07,0.0,-10.07,RISK-ON,OFF
2019-12-27,🟢 BUY,银行ETF,512800.SH,大金融,0.0,10.02,10.02,RISK-ON,OFF
2019-12-27,🟡 REBAL,证券ETF,512880.SH,大金融,13.43,13.36,-0.06,RISK-ON,OFF
2019-12-27,🟡 REBAL,通信ETF,515880.SH,科技成长,10.07,10.02,-0.05,RISK-ON,OFF
2020-01-03,🟡 REBAL,房地产ETF,512200.SH,地产链,23.39,22.42,-0.97,RISK-ON,OFF
2020-01-03,🟡 REBAL,半导体ETF,512480.SH,科技成长,23.39,22.42,-0.97,RISK-ON,OFF
2020-01-03,🟡 REBAL,银行ETF,512800.SH,大金融,10.02,9.61,-0.42,RISK-ON,OFF
2020-01-03,🟡 REBAL,证券ETF,512880.SH,大金融,13.36,12.81,-0.55,RISK-ON,OFF
2020-01-03,🟡 REBAL,通信ETF,515880.SH,科技成长,10.02,9.61,-0.42,RISK-ON,OFF
2020-01-10,🔴 SELL,房地产ETF,512200.SH,地产链,22.42,0.0,-22.42,RISK-ON,OFF
2020-01-10,🟡 REBAL,半导体ETF,512480.SH,科技成长,22.42,22.74,0.32,RISK-ON,OFF
2020-01-10,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,22.74,22.74,RISK-ON,OFF
2020-01-10,🟢 BUY,酒ETF,512690.SH,大消费,0.0,9.75,9.75,RISK-ON,OFF
2020-01-10,🔴 SELL,银行ETF,512800.SH,大金融,9.61,0.0,-9.61,RISK-ON,OFF
2020-01-10,🟡 REBAL,证券ETF,512880.SH,大金融,12.81,12.99,0.18,RISK-ON,OFF
2020-01-10,🟡 REBAL,通信ETF,515880.SH,科技成长,9.61,9.75,0.14,RISK-ON,OFF
2020-01-17,🟢 BUY,医药ETF,512010.SH,大消费,0.0,9.7,9.7,RISK-ON,OFF
2020-01-17,🟡 REBAL,半导体ETF,512480.SH,科技成长,22.74,22.63,-0.11,RISK-ON,OFF
2020-01-17,🟡 REBAL,军工ETF,512660.SH,高端制造,22.74,12.93,-9.81,RISK-ON,OFF
2020-01-17,🟡 REBAL,酒ETF,512690.SH,大消费,9.75,22.63,12.89,RISK-ON,OFF
2020-01-17,🔴 SELL,证券ETF,512880.SH,大金融,12.99,0.0,-12.99,RISK-ON,OFF
2020-01-17,🟡 REBAL,通信ETF,515880.SH,科技成长,9.75,9.7,-0.05,RISK-ON,OFF
2020-01-23,🟡 REBAL,医药ETF,512010.SH,大消费,9.7,22.69,12.99,RISK-ON,OFF
2020-01-23,🟡 REBAL,半导体ETF,512480.SH,科技成长,22.63,22.69,0.06,RISK-ON,OFF
2020-01-23,🟡 REBAL,军工ETF,512660.SH,高端制造,12.93,22.69,9.76,RISK-ON,OFF
2020-01-23,🔴 SELL,酒ETF,512690.SH,大消费,22.63,0.0,-22.63,RISK-ON,OFF
2020-01-23,🟡 REBAL,通信ETF,515880.SH,科技成长,9.7,9.73,0.03,RISK-ON,OFF
2020-02-07,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,13.37,13.37,RISK-ON,OFF
2020-02-07,🟡 REBAL,医药ETF,512010.SH,大消费,22.69,10.03,-12.66,RISK-ON,OFF
2020-02-07,🟡 REBAL,半导体ETF,512480.SH,科技成长,22.69,23.41,0.71,RISK-ON,OFF
2020-02-07,🟡 REBAL,军工ETF,512660.SH,高端制造,22.69,23.41,0.71,RISK-ON,OFF
2020-02-07,🟡 REBAL,通信ETF,515880.SH,科技成长,9.73,10.03,0.31,RISK-ON,OFF
2020-02-14,🟡 REBAL,黄金ETF,159934.SZ,周期资源,13.37,13.57,0.2,RISK-ON,OFF
2020-02-14,🟡 REBAL,医药ETF,512010.SH,大消费,10.03,10.18,0.15,RISK-ON,OFF
2020-02-14,🟡 REBAL,半导体ETF,512480.SH,科技成长,23.41,23.75,0.35,RISK-ON,OFF
2020-02-14,🟡 REBAL,军工ETF,512660.SH,高端制造,23.41,23.75,0.35,RISK-ON,OFF
2020-02-14,🟡 REBAL,通信ETF,515880.SH,科技成长,10.03,10.18,0.15,RISK-ON,OFF
2020-02-21,🟡 REBAL,黄金ETF,159934.SZ,周期资源,13.57,9.95,-3.62,RISK-ON,OFF
2020-02-21,🟡 REBAL,医药ETF,512010.SH,大消费,10.18,7.46,-2.72,RISK-ON,OFF
2020-02-21,🟡 REBAL,半导体ETF,512480.SH,科技成长,23.75,17.41,-6.34,RISK-ON,OFF
2020-02-21,🟡 REBAL,军工ETF,512660.SH,高端制造,23.75,17.41,-6.34,RISK-ON,OFF
2020-02-21,🟡 REBAL,通信ETF,515880.SH,科技成长,10.18,7.46,-2.72,RISK-ON,OFF
2020-02-28,🟡 REBAL,黄金ETF,159934.SZ,周期资源,9.95,15.41,5.46,RISK-ON,OFF
2020-02-28,🔴 SELL,医药ETF,512010.SH,大消费,7.46,0.0,-7.46,RISK-ON,OFF
2020-02-28,🟡 REBAL,半导体ETF,512480.SH,科技成长,17.41,15.41,-2.0,RISK-ON,OFF
2020-02-28,🟡 REBAL,军工ETF,512660.SH,高端制造,17.41,15.41,-2.0,RISK-ON,OFF
2020-02-28,🟡 REBAL,通信ETF,515880.SH,科技成长,7.46,6.6,-0.86,RISK-ON,OFF
2020-03-06,🔴 SELL,黄金ETF,159934.SZ,周期资源,15.41,0.0,-15.41,RISK-ON,OFF
2020-03-06,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,15.46,15.46,RISK-ON,OFF
2020-03-06,🔴 SELL,半导体ETF,512480.SH,科技成长,15.41,0.0,-15.41,RISK-ON,OFF
2020-03-06,🟡 REBAL,军工ETF,512660.SH,高端制造,15.41,15.46,0.06,RISK-ON,OFF
2020-03-06,🟢 BUY,酒ETF,512690.SH,大消费,0.0,6.63,6.63,RISK-ON,OFF
2020-03-06,🟡 REBAL,通信ETF,515880.SH,科技成长,6.6,15.46,8.86,RISK-ON,OFF
2020-03-13,🟡 REBAL,房地产ETF,512200.SH,地产链,15.46,6.51,-8.95,RISK-ON,OFF
2020-03-13,🟡 REBAL,军工ETF,512660.SH,高端制造,15.46,15.2,-0.27,RISK-ON,OFF
2020-03-13,🟡 REBAL,酒ETF,512690.SH,大消费,6.63,6.51,-0.11,RISK-ON,OFF
2020-03-13,🟢 BUY,证券ETF,512880.SH,大金融,0.0,8.68,8.68,RISK-ON,OFF
2020-03-13,🟡 REBAL,通信ETF,515880.SH,科技成长,15.46,15.2,-0.27,RISK-ON,OFF
2020-03-20,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,47.09,47.09,RISK-OFF,OFF
2020-03-20,🔴 SELL,房地产ETF,512200.SH,地产链,6.51,0.0,-6.51,RISK-OFF,OFF
2020-03-20,🔴 SELL,军工ETF,512660.SH,高端制造,15.2,0.0,-15.2,RISK-OFF,OFF
2020-03-20,🔴 SELL,酒ETF,512690.SH,大消费,6.51,0.0,-6.51,RISK-OFF,OFF
2020-03-20,🔴 SELL,证券ETF,512880.SH,大金融,8.68,0.0,-8.68,RISK-OFF,OFF
2020-03-20,🔴 SELL,通信ETF,515880.SH,科技成长,15.2,0.0,-15.2,RISK-OFF,OFF
2020-03-27,🟡 REBAL,黄金ETF,159934.SZ,周期资源,47.09,43.63,-3.46,RISK-OFF,OFF
2020-04-03,🟡 REBAL,黄金ETF,159934.SZ,周期资源,43.63,44.83,1.2,RISK-OFF,OFF
2020-04-10,🟡 REBAL,黄金ETF,159934.SZ,周期资源,44.83,44.98,0.15,RISK-OFF,OFF
2020-04-17,🟡 REBAL,黄金ETF,159934.SZ,周期资源,44.98,7.48,-37.5,RISK-ON,OFF
2020-04-17,🟢 BUY,有色ETF,159980.SZ,周期资源,0.0,5.61,5.61,RISK-ON,OFF
2020-04-17,🟢 BUY,医药ETF,512010.SH,大消费,0.0,13.09,13.09,RISK-ON,OFF
2020-04-17,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,13.09,13.09,RISK-ON,OFF
2020-04-17,🟢 BUY,酒ETF,512690.SH,大消费,0.0,5.61,5.61,RISK-ON,OFF
2020-04-24,🔴 SELL,黄金ETF,159934.SZ,周期资源,7.48,0.0,-7.48,RISK-ON,OFF
2020-04-24,🟡 REBAL,有色ETF,159980.SZ,周期资源,5.61,13.16,7.55,RISK-ON,OFF
2020-04-24,🟡 REBAL,医药ETF,512010.SH,大消费,13.09,5.64,-7.45,RISK-ON,OFF
2020-04-24,🔴 SELL,房地产ETF,512200.SH,地产链,13.09,0.0,-13.09,RISK-ON,OFF
2020-04-24,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,13.16,13.16,RISK-ON,OFF
2020-04-24,🟡 REBAL,酒ETF,512690.SH,大消费,5.61,13.16,7.55,RISK-ON,OFF
2020-05-08,🔴 SELL,有色ETF,159980.SZ,周期资源,13.17,0.0,-13.17,RISK-ON,ON
2020-05-08,🔴 SELL,医药ETF,512010.SH,大消费,5.64,0.0,-5.64,RISK-ON,ON
2020-05-08,🟢 BUY,半导体ETF,512480.SH,科技成长,0.0,13.13,13.13,RISK-ON,ON
2020-05-08,🟡 REBAL,军工ETF,512660.SH,高端制造,13.17,13.13,-0.04,RISK-ON,ON
2020-05-08,🟡 REBAL,酒ETF,512690.SH,大消费,13.17,13.13,-0.04,RISK-ON,ON
2020-05-08,🟢 BUY,AI_ETF,515980.SH,科技成长,0.0,5.63,5.63,RISK-ON,ON
2020-05-15,🟡 REBAL,半导体ETF,512480.SH,科技成长,13.13,13.11,-0.02,RISK-ON,ON
2020-05-15,🟡 REBAL,军工ETF,512660.SH,高端制造,13.13,13.11,-0.02,RISK-ON,ON
2020-05-15,🟡 REBAL,酒ETF,512690.SH,大消费,13.13,13.11,-0.02,RISK-ON,ON
2020-05-22,🟢 BUY,有色ETF,159980.SZ,周期资源,0.0,12.72,12.72,RISK-ON,ON
2020-05-22,🟢 BUY,医药ETF,512010.SH,大消费,0.0,5.45,5.45,RISK-ON,ON
2020-05-22,🟡 REBAL,半导体ETF,512480.SH,科技成长,13.11,12.72,-0.4,RISK-ON,ON
2020-05-22,🔴 SELL,军工ETF,512660.SH,高端制造,13.11,0.0,-13.11,RISK-ON,ON
2020-05-22,🟡 REBAL,酒ETF,512690.SH,大消费,13.11,12.72,-0.4,RISK-ON,ON
2020-05-22,🔴 SELL,AI_ETF,515980.SH,科技成长,5.62,0.0,-5.62,RISK-ON,ON
2020-05-29,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,7.36,7.36,RISK-ON,ON
2020-05-29,🟡 REBAL,有色ETF,159980.SZ,周期资源,12.72,5.52,-7.19,RISK-ON,ON
2020-05-29,🟡 REBAL,医药ETF,512010.SH,大消费,5.45,5.52,0.07,RISK-ON,ON
2020-05-29,🔴 SELL,半导体ETF,512480.SH,科技成长,12.72,0.0,-12.72,RISK-ON,ON
2020-05-29,🟡 REBAL,酒ETF,512690.SH,大消费,12.72,12.89,0.17,RISK-ON,ON
2020-05-29,🟢 BUY,新能源车ETF,515030.SH,新能源,0.0,7.36,7.36,RISK-ON,ON
2020-05-29,🟢 BUY,钢铁ETF,515210.SH,周期资源,0.0,5.52,5.52,RISK-ON,ON
2020-06-05,🔴 SELL,黄金ETF,159934.SZ,周期资源,7.36,0.0,-7.36,RISK-ON,ON
2020-06-05,🟡 REBAL,有色ETF,159980.SZ,周期资源,5.52,12.9,7.38,RISK-ON,ON
2020-06-05,🟡 REBAL,酒ETF,512690.SH,大消费,12.89,12.9,0.01,RISK-ON,ON
2020-06-05,🔴 SELL,钢铁ETF,515210.SH,周期资源,5.52,0.0,-5.52,RISK-ON,ON
2020-06-05,🟢 BUY,煤炭ETF,515220.SH,周期资源,0.0,5.53,5.53,RISK-ON,ON
2020-06-12,🟡 REBAL,有色ETF,159980.SZ,周期资源,12.9,13.54,0.64,RISK-ON,ON
2020-06-12,🟡 REBAL,医药ETF,512010.SH,大消费,5.53,5.8,0.27,RISK-ON,ON
2020-06-12,🟡 REBAL,酒ETF,512690.SH,大消费,12.9,13.54,0.64,RISK-ON,ON
2020-06-12,🟡 REBAL,新能源车ETF,515030.SH,新能源,7.37,7.74,0.36,RISK-ON,ON
2020-06-12,🟢 BUY,钢铁ETF,515210.SH,周期资源,0.0,5.8,5.8,RISK-ON,ON
2020-06-12,🔴 SELL,煤炭ETF,515220.SH,周期资源,5.53,0.0,-5.53,RISK-ON,ON
2020-06-19,🔴 SELL,有色ETF,159980.SZ,周期资源,13.54,0.0,-13.54,RISK-ON,ON
2020-06-19,🟡 REBAL,医药ETF,512010.SH,大消费,5.8,13.46,7.66,RISK-ON,ON
2020-06-19,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,7.69,7.69,RISK-ON,ON
2020-06-19,🟡 REBAL,酒ETF,512690.SH,大消费,13.54,5.77,-7.77,RISK-ON,ON
2020-06-19,🟡 REBAL,新能源车ETF,515030.SH,新能源,7.74,13.46,5.72,RISK-ON,ON
2020-06-19,🟡 REBAL,钢铁ETF,515210.SH,周期资源,5.8,5.77,-0.03,RISK-ON,ON
2020-06-24,🔴 SELL,房地产ETF,512200.SH,地产链,7.69,0.0,-7.69,RISK-ON,ON
2020-06-24,🟢 BUY,半导体ETF,512480.SH,科技成长,0.0,13.45,13.45,RISK-ON,ON
2020-06-24,🔴 SELL,酒ETF,512690.SH,大消费,5.77,0.0,-5.77,RISK-ON,ON
2020-06-24,🟡 REBAL,新能源车ETF,515030.SH,新能源,13.46,7.69,-5.77,RISK-ON,ON
2020-06-24,🔴 SELL,钢铁ETF,515210.SH,周期资源,5.77,0.0,-5.77,RISK-ON,ON
2020-06-24,🟢 BUY,通信ETF,515880.SH,科技成长,0.0,5.77,5.77,RISK-ON,ON
2020-06-24,🟢 BUY,AI_ETF,515980.SH,科技成长,0.0,5.77,5.77,RISK-ON,ON
2020-07-03,🟢 BUY,创新药ETF,159992.SZ,大消费,0.0,5.77,5.77,RISK-ON,ON
2020-07-03,🟡 REBAL,医药ETF,512010.SH,大消费,13.45,5.77,-7.68,RISK-ON,ON
2020-07-03,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,13.47,13.47,RISK-ON,ON
2020-07-03,🔴 SELL,半导体ETF,512480.SH,科技成长,13.45,0.0,-13.45,RISK-ON,ON
2020-07-03,🟢 BUY,酒ETF,512690.SH,大消费,0.0,7.7,7.7,RISK-ON,ON
2020-07-03,🟢 BUY,证券ETF,512880.SH,大金融,0.0,7.7,7.7,RISK-ON,ON
2020-07-03,🔴 SELL,新能源车ETF,515030.SH,新能源,7.69,0.0,-7.69,RISK-ON,ON
2020-07-03,🟢 BUY,煤炭ETF,515220.SH,周期资源,0.0,5.77,5.77,RISK-ON,ON
2020-07-03,🔴 SELL,通信ETF,515880.SH,科技成长,5.77,0.0,-5.77,RISK-ON,ON
2020-07-03,🔴 SELL,AI_ETF,515980.SH,科技成长,5.77,0.0,-5.77,RISK-ON,ON
2020-07-10,🟡 REBAL,创新药ETF,159992.SZ,大消费,5.77,5.5,-0.27,RISK-ON,OFF
2020-07-10,🔴 SELL,医药ETF,512010.SH,大消费,5.77,0.0,-5.77,RISK-ON,OFF
2020-07-10,🔴 SELL,房地产ETF,512200.SH,地产链,13.47,0.0,-13.47,RISK-ON,OFF
2020-07-10,🟢 BUY,半导体ETF,512480.SH,科技成长,0.0,12.84,12.84,RISK-ON,OFF
2020-07-10,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,7.34,7.34,RISK-ON,OFF
2020-07-10,🟡 REBAL,酒ETF,512690.SH,大消费,7.7,5.5,-2.2,RISK-ON,OFF
2020-07-10,🟡 REBAL,证券ETF,512880.SH,大金融,7.7,7.34,-0.36,RISK-ON,OFF
2020-07-10,🟡 REBAL,煤炭ETF,515220.SH,周期资源,5.77,5.5,-0.27,RISK-ON,OFF
2020-07-17,🟡 REBAL,创新药ETF,159992.SZ,大消费,5.5,5.11,-0.39,RISK-ON,OFF
2020-07-17,🔴 SELL,半导体ETF,512480.SH,科技成长,12.84,0.0,-12.84,RISK-ON,OFF
2020-07-17,🟡 REBAL,军工ETF,512660.SH,高端制造,7.34,11.93,4.6,RISK-ON,OFF
2020-07-17,🟡 REBAL,酒ETF,512690.SH,大消费,5.5,11.93,6.43,RISK-ON,OFF
2020-07-17,🟡 REBAL,证券ETF,512880.SH,大金融,7.34,6.82,-0.52,RISK-ON,OFF
2020-07-17,🟢 BUY,红利ETF,515080.SH,红利,0.0,5.11,5.11,RISK-ON,OFF
2020-07-17,🔴 SELL,煤炭ETF,515220.SH,周期资源,5.5,0.0,-5.5,RISK-ON,OFF
2020-07-24,🟡 REBAL,创新药ETF,159992.SZ,大消费,5.11,11.94,6.82,RISK-ON,OFF
2020-07-24,🟡 REBAL,酒ETF,512690.SH,大消费,11.93,5.12,-6.82,RISK-ON,OFF
2020-07-24,🔴 SELL,证券ETF,512880.SH,大金融,6.82,0.0,-6.82,RISK-ON,OFF
2020-07-24,🟡 REBAL,红利ETF,515080.SH,红利,5.11,11.94,6.82,RISK-ON,OFF
2020-07-31,🟡 REBAL,创新药ETF,159992.SZ,大消费,11.94,11.79,-0.15,RISK-ON,OFF
2020-07-31,🟢 BUY,医药ETF,512010.SH,大消费,0.0,5.05,5.05,RISK-ON,OFF
2020-07-31,🟡 REBAL,军工ETF,512660.SH,高端制造,11.94,11.79,-0.15,RISK-ON,OFF
2020-07-31,🔴 SELL,酒ETF,512690.SH,大消费,5.12,0.0,-5.12,RISK-ON,OFF
2020-07-31,🟡 REBAL,红利ETF,515080.SH,红利,11.94,11.79,-0.15,RISK-ON,OFF
2020-08-07,🟢 BUY,有色ETF,159980.SZ,周期资源,0.0,4.99,4.99,RISK-ON,OFF
2020-08-07,🟡 REBAL,创新药ETF,159992.SZ,大消费,11.79,11.65,-0.14,RISK-ON,OFF
