trade_week,Gate,Regime_csi,scale,持仓数,总仓位(%),换手率(%),主导板块,主导板块权重(%),周收益(%),成本(bps),NAV
2022-08-05,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.2136,0.0,2.2177
2022-08-12,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.1332,0.0,2.2207
2022-08-19,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-0.8515,0.0,2.2018
2022-08-26,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.9662,0.0,2.2231
2022-09-02,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-1.8075,0.0,2.1829
2022-09-09,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.4889,0.0,2.2154
2022-09-16,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-1.4404,0.0,2.1835
2022-09-23,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.0555,0.0,2.2065
2022-09-30,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.2946,0.0,2.213
2022-10-14,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.8011,0.0,2.2307
2022-10-21,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-1.0066,0.0,2.2083
2022-10-28,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,1.2577,0.0,2.2361
2022-11-04,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-0.3171,0.0,2.229
2022-11-11,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,3.685,0.0,2.3111
2022-11-18,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.1278,0.0,2.3141
2022-11-25,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.1532,0.0,2.3176
2022-12-02,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.5099,0.0,2.3294
2022-12-09,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-1.446,0.0,2.2957
2022-12-16,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,-0.2059,0.0,2.291
2022-12-23,RISK-OFF,ON,1.0,1,100.0,0.0,周期资源,100.0,0.8512,0.0,2.3105
2022-12-30,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.8696,0.0,2.3306
2023-01-06,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-0.2282,0.0,2.3253
2023-01-13,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.3215,0.0,2.356
2023-01-20,RISK-ON,OFF,1.0,6,100.0,100.0,AI数字,50.0,1.831,0.0,2.3991
2023-02-03,RISK-ON,OFF,1.0,6,100.0,37.5,AI数字,50.0,1.36,5.0,2.4318
2023-02-10,RISK-ON,OFF,1.0,6,100.0,37.5,AI数字,50.0,0.5048,1.88,2.444
2023-02-17,RISK-ON,OFF,1.0,6,100.0,0.0,AI数字,50.0,-2.1484,1.88,2.3915
2023-02-24,RISK-ON,OFF,1.0,5,100.0,25.0,AI数字,37.5,1.3794,0.0,2.4245
2023-03-03,RISK-ON,OFF,1.0,6,100.0,25.0,AI数字,50.0,3.1638,1.25,2.5012
2023-03-10,RISK-OFF,OFF,1.0,1,100.0,100.0,周期资源,100.0,-3.3503,1.25,2.4174
2023-03-17,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,3.4094,5.0,2.4999
2023-03-24,RISK-ON,OFF,1.0,6,100.0,100.0,AI数字,50.0,1.732,0.0,2.5432
2023-03-31,RISK-ON,OFF,1.0,7,100.0,25.0,AI数字,62.5,1.1985,5.0,2.5736
2023-04-07,RISK-ON,OFF,0.76,7,76.0,12.0,AI数字,47.5,8.3615,1.25,2.7888
2023-04-14,RISK-ON,OFF,0.7107,7,71.07,20.23,AI数字,44.42,-2.5272,0.6,2.7184
2023-04-21,RISK-ON,OFF,0.6875,6,68.75,26.94,AI数字,25.78,-1.6673,1.01,2.673
2023-04-28,RISK-ON,OFF,0.6917,5,69.17,25.99,大金融,25.94,1.2622,1.35,2.7068
2023-05-05,RISK-OFF,OFF,0.6915,1,69.15,69.16,周期资源,69.15,0.902,1.3,2.7312
2023-05-12,RISK-OFF,OFF,0.6868,1,68.68,0.23,周期资源,68.68,-0.7312,3.46,2.7112
2023-05-19,RISK-OFF,OFF,0.7021,1,70.21,0.76,周期资源,70.21,-0.6831,0.01,2.6927
2023-05-26,RISK-OFF,OFF,0.7002,1,70.02,0.09,周期资源,70.02,-0.2792,0.04,2.6852
2023-06-02,RISK-OFF,OFF,0.6987,1,69.87,0.07,周期资源,69.87,1.0345,0.0,2.713
2023-06-09,RISK-OFF,OFF,0.698,1,69.8,0.04,周期资源,69.8,0.0323,0.0,2.7138
2023-06-16,RISK-ON,OFF,0.7074,6,70.74,70.27,AI数字,35.37,-0.0645,0.0,2.7121
2023-06-21,RISK-OFF,OFF,0.7091,1,70.91,70.83,周期资源,70.91,0.2414,3.51,2.7186
2023-06-30,RISK-OFF,OFF,0.7081,1,70.81,0.05,周期资源,70.81,-0.0519,3.54,2.7172
2023-07-07,RISK-OFF,ON,0.7075,1,70.75,0.03,周期资源,70.75,0.0657,0.0,2.719
2023-07-14,RISK-OFF,ON,0.7094,1,70.94,0.09,周期资源,70.94,0.476,0.0,2.7319
2023-07-21,RISK-OFF,ON,0.7089,1,70.89,0.02,周期资源,70.89,1.0299,0.0,2.7601
2023-07-28,RISK-ON,ON,0.7065,7,70.65,70.77,地产链,26.49,-0.6925,0.0,2.741
2023-08-04,RISK-ON,ON,0.7059,7,70.59,0.03,地产链,26.47,1.0518,3.54,2.7698
2023-08-11,RISK-OFF,ON,0.6598,1,65.98,68.28,周期资源,65.98,-2.8418,0.0,2.6911
2023-08-18,RISK-OFF,ON,0.6735,1,67.35,0.68,周期资源,67.35,0.0717,3.41,2.693
2023-08-25,RISK-OFF,ON,0.6754,1,67.54,0.09,周期资源,67.54,0.4157,0.03,2.7042
2023-09-01,RISK-OFF,OFF,0.6929,1,69.29,0.88,周期资源,69.29,0.5835,0.0,2.72
2023-09-08,RISK-OFF,OFF,0.7287,1,72.87,1.79,周期资源,72.87,0.6712,0.04,2.7382
2023-09-15,RISK-OFF,OFF,0.7551,1,75.51,1.32,周期资源,75.51,0.536,0.09,2.7529
