trade_week,equity
2019-01-04,1.0
2019-01-11,1.0
2019-01-18,1.0
2019-01-25,1.0
2019-02-01,1.0
2019-02-15,1.0
2019-02-22,1.0
2019-03-01,1.0
2019-03-08,1.0
2019-03-15,1.0
2019-03-22,1.0
2019-03-29,1.0
2019-04-04,1.002997924936846
2019-04-12,1.0037195061778077
2019-04-19,0.9903702532200149
2019-04-26,0.9936173688043426
2019-04-30,0.9943389500453043
2019-05-10,1.0055234592802118
2019-05-17,1.022841409063294
2019-05-24,1.0232021996837748
2019-05-31,1.0300572214729116
2019-06-06,1.0600028429728245
2019-06-14,1.0812894895811962
2019-06-21,1.1040192986714918
2019-06-28,1.1144822266654373
2019-07-05,1.118531722466876
2019-07-12,1.1053473456085368
2019-07-19,1.1082577162630918
2019-07-26,1.1075212337966864
2019-08-02,1.0874306469327017
2019-08-09,1.1245198485465222
2019-08-16,1.1358670826801633
2019-08-23,1.1687036700425553
2019-08-30,1.191388784011736
2019-09-06,1.2080576297420529
2019-09-12,1.2056205970591227
2019-09-20,1.202046383257931
2019-09-27,1.155268438314268
2019-09-30,1.140524492933424
2019-10-11,1.150813884901975
2019-10-18,1.1405478962797435
2019-10-25,1.1445003563748413
2019-11-01,1.1605946036656098
2019-11-08,1.1648485087409375
2019-11-15,1.1756776076593916
2019-11-22,1.152328638894351
2019-11-29,1.1442300438787407
2019-12-06,1.220504278485482
2019-12-13,1.2424786825420016
2019-12-20,1.2511082738690888
2019-12-27,1.245496678885067
2020-01-03,1.286231586973206
2020-01-10,1.2999551852284776
2020-01-17,1.3192372994527048
2020-01-23,1.331457037028803
2020-02-07,1.3341406683529322
2020-02-14,1.363220048369293
2020-02-21,1.4809824822692925
2020-02-28,1.4251847908456052
2020-03-06,1.4445509014832825
2020-03-13,1.4274408271695742
2020-03-20,1.3752739110294807
2020-03-27,1.4257883061116972
2020-04-03,1.4200430977983123
2020-04-10,1.4367344032993037
2020-04-17,1.4358453858579847
2020-04-24,1.4387946492253865
2020-04-30,1.4475809343738275
2020-05-08,1.4639783009226865
2020-05-15,1.4799339353942957
2020-05-22,1.4587920918062167
2020-05-29,1.465331177974371
2020-06-05,1.484333098569382
2020-06-12,1.489989103793439
2020-06-19,1.5131185450161404
2020-06-24,1.5245788711290948
2020-07-03,1.5476210152451617
2020-07-10,1.600333968935926
2020-07-17,1.5450781150933444
2020-07-24,1.5551137800302914
2020-07-31,1.5770919200870468
2020-08-07,1.6064821091223764
2020-08-14,1.5872299247603507
2020-08-21,1.5825424463989708
2020-08-28,1.5923547870920167
2020-09-04,1.5851717637224414
2020-09-11,1.572153711357641
2020-09-18,1.5805183942129704
2020-09-25,1.5449240506528201
2020-09-30,1.5479873988236874
2020-10-09,1.5787385378922338
2020-10-16,1.5923253048325676
2020-10-23,1.5577819771376227
2020-10-30,1.5658280169458025
2020-11-06,1.6090528605720433
2020-11-13,1.6221052426007638
2020-11-20,1.6390775306998302
2020-11-27,1.6374239324560977
2020-12-04,1.6375713825052716
2020-12-11,1.6237422860382802
2020-12-18,1.648429405741421
2020-12-25,1.6629839098551533
2020-12-31,1.6840093481641503
2021-01-08,1.7396071256836008
2021-01-15,1.6863729413930404
2021-01-22,1.728842952821783
2021-01-29,1.6540960370501296
2021-02-05,1.6899045712751701
2021-02-10,1.717288707888871
2021-02-19,1.706652979592906
2021-02-26,1.6803124739516966
2021-03-05,1.6800672483183101
2021-03-12,1.694581844009364
2021-03-19,1.6873640513141648
2021-03-25,1.6873141125757243
2021-03-26,1.6759883700318623
2021-04-02,1.6847247144291688
2021-04-09,1.66420695000944
2021-04-16,1.6539762163829408
2021-04-23,1.682005063552714
2021-04-30,1.6847772827104255
2021-05-07,1.6994906969393377
2021-05-13,1.705129709486856
2021-05-14,1.7148753529409078
2021-05-21,1.6926113787632615
2021-05-28,1.735322993483242
2021-06-04,1.7493555680743629
2021-06-11,1.7552441689755407
2021-06-18,1.7682986209509872
2021-06-24,1.7681863791376617
2021-06-25,1.7843339939101752
2021-07-02,1.7646714614168553
2021-07-09,1.8264524562835318
2021-07-16,1.8511354490323977
2021-07-23,1.9248912281750146
2021-07-30,1.9264557665037105
2021-08-06,1.964795080184715
2021-08-13,1.9917998675015227
2021-08-20,1.9510774576865249
2021-08-27,2.0606507021478064
2021-09-03,2.0873879654566125
2021-09-10,2.1734485592527646
2021-09-17,2.1287068126626467
2021-09-24,2.0967893710890535
2021-09-30,2.109563786624819
2021-10-08,2.128831659568781
2021-10-15,2.111920055367638
2021-10-22,2.1167770853606314
2021-10-29,2.1183278873088756
2021-11-05,2.1328204328195266
2021-11-12,2.1849261911859497
2021-11-19,2.176810878834365
2021-11-26,2.141413077864161
2021-12-03,2.1547462528278793
2021-12-10,2.1527627760589576
2021-12-17,2.1222164861075274
2021-12-24,2.106938327897425
2021-12-31,2.107904031892601
2022-01-07,2.1161658265422205
2022-01-14,2.104218847600695
2022-01-21,2.109747444792684
2022-01-28,2.084095675897369
2022-02-11,2.1012704879142583
2022-02-18,2.1416483379049764
2022-02-25,2.157808209206117
2022-03-04,2.169655530673469
2022-03-11,2.2119488765474182
2022-03-18,2.174433391221077
2022-03-25,2.204595521799957
2022-04-01,2.1736496230899838
2022-04-08,2.1725507519576794
2022-04-15,2.223121205038865
2022-04-22,2.2273734020363025
2022-04-29,2.222487720209701
2022-05-06,2.2122079394784615
2022-05-13,2.193874285915991
2022-05-20,2.1852522317750958
2022-05-27,2.210281845858629
2022-06-02,2.189209846812824
2022-06-10,2.180667144496957
2022-06-17,2.1852232523987527
2022-06-24,2.1601646589388763
2022-07-01,2.1345365519912756
2022-07-08,2.0724595818293094
2022-07-15,2.045122934418535
2022-07-22,2.0633473660257176
2022-07-29,2.111756012482296
2022-08-05,2.137384119429896
2022-08-12,2.140231686868518
2022-08-19,2.1220072552613356
2022-08-26,2.142509740819416
2022-09-02,2.103782823654153
2022-09-09,2.135106065478998
2022-09-16,2.1043523371418775
2022-09-23,2.126563363163132
2022-09-30,2.132828011528101
2022-10-14,2.149913416159835
2022-10-21,2.128271903626305
2022-10-28,2.155039037549355
2022-11-04,2.148204875696661
2022-11-11,2.227367250490362
2022-11-18,2.2302148179289847
2022-11-25,2.233631898855331
2022-12-02,2.24502216860982
2022-12-09,2.2125598998095257
