trade_week,pnl_net
2019-01-04,0.0
2019-01-11,0.0
2019-01-18,0.0
2019-01-25,0.0
2019-02-01,0.0
2019-02-15,0.0
2019-02-22,0.0
2019-03-01,0.0
2019-03-08,0.0
2019-03-15,0.0
2019-03-22,0.0
2019-03-29,0.0
2019-04-04,0.0029979249368460026
2019-04-12,0.0007194244604316058
2019-04-19,-0.013299784327821973
2019-04-26,0.003278688524589901
2019-04-30,0.000726216412490821
2019-05-10,0.011248185776487896
2019-05-17,0.017222820236813652
2019-05-24,0.00035273368606691946
2019-05-31,0.006699576868829382
2019-06-06,0.029071803852889655
2019-06-14,0.020081688223280825
2019-06-21,0.021021021021021324
2019-06-28,0.009477124183006502
2019-07-05,0.0036335221007114072
2019-07-12,-0.01178721764749029
2019-07-19,0.0026329919424131023
2019-07-26,-0.0006645407973235128
2019-08-02,-0.018140136957114944
2019-08-09,0.03410718809373023
2019-08-16,0.010090737080637388
2019-08-23,0.028908829090206097
2019-08-30,0.019410492625863508
2019-09-06,0.013991105132103042
2019-09-12,-0.0020173149218473377
2019-09-20,-0.0029646256956047507
2019-09-27,-0.03891525784294594
2019-09-30,-0.012762354524596708
2019-10-11,0.009021631742503526
2019-10-18,-0.008920633263914603
2019-10-25,0.003465404748007328
2019-11-01,0.01406224751361934
2019-11-08,0.0036652807637500423
2019-11-15,0.009296572762203222
2019-11-22,-0.01986000976196617
2019-11-29,-0.007028025462754066
2019-12-06,0.06665987754366692
2019-12-13,0.018004364625241267
2019-12-20,0.00694546429515533
2019-12-27,-0.004485299235267521
2020-01-03,0.03270575408085682
2020-01-10,0.010669616882575967
2020-01-17,0.014832906890431192
2020-01-23,0.00926272898830836
2020-02-07,0.0020155598336974922
2020-02-14,0.02179633730246805
2020-02-21,0.08638549149924038
2020-02-28,-0.0376761319540992
2020-03-06,0.013588490953644656
2020-03-13,-0.011844563106872458
2020-03-20,-0.03654576438277555
2020-03-27,0.03673042488270814
2020-04-03,-0.004029496025993303
2020-04-10,0.011754083750606024
2020-04-17,-0.000618776469246801
2020-04-24,0.0020540257303814655
2020-04-30,0.006106698515435546
2020-05-08,0.011327426439166318
2020-05-15,0.010898818965795542
2020-05-22,-0.014285667138544372
2020-05-29,0.004482534697633231
2020-06-05,0.012967662792297103
2020-06-12,0.0038104689772857935
2020-06-19,0.015523228434231533
2020-06-24,0.0075739776970562235
2020-07-03,0.015113776369602915
2020-07-10,0.03406063446509461
2020-07-17,-0.034527701664247984
2020-07-24,0.006495247611698144
2020-07-31,0.01413281802205327
2020-08-07,0.018635685505070207
2020-08-14,-0.01198406396977763
2020-08-21,-0.0029532446989919514
2020-08-28,0.0062003649351545405
2020-09-04,-0.004510944060835338
2020-09-11,-0.008212392286265826
2020-09-18,0.005320524828393672
2020-09-25,-0.022520676564396956
2020-09-30,0.001982847098258719
2020-10-09,0.019865238626563926
2020-10-16,0.008606090631367807
2020-10-23,-0.021693637342890325
2020-10-30,0.005165061559490019
2020-11-06,0.027605102960510407
2020-11-13,0.008111841660739624
2020-11-20,0.0104631238795913
2020-11-27,-0.0010088590763773183
2020-12-04,9.005001469148339e-05
2020-12-11,-0.008444881618433372
2020-12-18,0.015203841099300529
2020-12-25,0.008829315991961474
2020-12-31,0.012643200084135726
2021-01-08,0.033015124043142274
2021-01-15,-0.030601268243047357
2021-01-22,0.025184234392221727
2021-01-29,-0.043235225992998866
2021-02-05,0.02164840095312757
2021-02-10,0.0162045461496309
2021-02-19,-0.006193325704121081
2021-02-26,-0.015434013801383647
2021-03-05,-0.00014594049451383624
2021-03-12,0.008639294472041243
2021-03-19,-0.004259335552729677
2021-03-25,-2.959571077836271e-05
2021-03-26,-0.006712290532894897
2021-04-02,0.005212652160074599
2021-04-09,-0.012178704475574165
2021-04-16,-0.006147512859768577
2021-04-23,0.016946342330767687
2021-04-30,0.001648163384155372
2021-05-07,0.008733150891755637
2021-05-13,0.0033180602622149627
2021-05-14,0.005715485103467402
2021-05-21,-0.01298285274172537
2021-05-28,0.025234153129224775
2021-06-04,0.0080864338476575
2021-06-11,0.0033661543762996725
2021-06-18,0.007437399426352172
2021-06-24,-6.347446748842e-05
2021-06-25,0.00913230356428184
2021-07-02,-0.011019535894303902
2021-07-09,0.03500991329971003
2021-07-16,0.01351417205739417
2021-07-23,0.03984353450806068
2021-07-30,0.0008127931104862515
2021-08-06,0.019901476248575266
2021-08-13,0.013744327634548614
2021-08-20,-0.020445030888609935
2021-08-27,0.05616037642667835
2021-09-03,0.012975155508373174
2021-09-10,0.0412288444794815
2021-09-17,-0.020585601807617707
2021-09-24,-0.014993817553329479
2021-09-30,0.006092369463476682
2021-10-08,0.009133581580289294
2021-10-15,-0.007944077741012481
2021-10-22,0.0022998171643138425
2021-10-29,0.0007326241194546576
2021-11-05,0.0068415024876352865
2021-11-12,0.02443044785422497
2021-11-19,-0.0037142272285087354
2021-11-26,-0.016261312047998737
2021-12-03,0.006226344231079939
2021-12-10,-0.0009205152422557817
2021-12-17,-0.01418934324354625
2021-12-24,-0.007199151599337825
2021-12-31,0.0004583446902023465
2022-01-07,0.0039194358588524585
2022-01-14,-0.005645577861469763
2022-01-21,0.0026273869746454275
2022-01-28,-0.012158691770727864
2022-02-11,0.008240894223579185
2022-02-18,0.019215922092351626
2022-02-25,0.007545529774952862
