方向,ts_code,ETF名称,板块,上周权重,本周权重,Δ权重
🔴 SELL,515030.SH,新能源车ETF,新能源, +7.24%, +0.00%, -7.24%
🟢 BUY,159713.SZ,稀土ETF,周期资源, +5.43%, +5.45%, +0.02%
🟢 BUY,159890.SZ,云计算ETF,科技成长, +5.43%, +5.45%, +0.02%
🟢 BUY,159779.SZ,消费电子ETF,科技成长, +5.43%, +5.45%, +0.02%
🟢 BUY,515980.SH,AI_ETF,科技成长, +5.43%, +5.45%, +0.02%
🟢 BUY,515880.SH,通信ETF,科技成长, +7.24%, +7.26%, +0.02%
🟢 BUY,562500.SH,机器人ETF,高端制造, +7.24%, +7.26%, +0.02%
🟢 BUY,159326.SZ,电网设备ETF,新能源, +0.00%, +7.26%, +7.26%
