ts_code,ETF名称,板块,w_A(50%),w_G(50%),目标权重,scale
159326.SZ,电网设备ETF,新能源, 0.00%, 7.11%,  7.11%,0.427
515880.SH,通信ETF,科技成长, 0.00%, 7.11%,  7.11%,0.427
512660.SH,军工ETF,高端制造, 0.00%, 7.11%,  7.11%,0.427
159890.SZ,云计算ETF,科技成长, 5.33%, 0.00%,  5.33%,0.427
159779.SZ,消费电子ETF,科技成长, 5.33%, 0.00%,  5.33%,0.427
515980.SH,AI_ETF,科技成长, 5.33%, 0.00%,  5.33%,0.427
589100.SH,科创芯片ETF,科技成长, 5.33%, 0.00%,  5.33%,0.427
